index,balance 1,balance 2,balance 3
20171211,1572657.716,1515109.675,1480014.127
20171212,1583055.548,1524839.503,1484205.206
20171213,1575689.923,1517951.555,1477125.281
20171214,1587220.326,1529610.649,1486559.936
20171215,1594211.971,1536922.653,1490564.779
20171218,1594044.204,1536760.026,1488300.452
20171219,1604951.315,1544741.446,1491568.017
20171220,1603120.317,1543470.77,1488692.001
20171221,1607274.562,1547200.454,1492257.677
20171222,1607376.953,1547382.698,1492097.142
20171226,1609786.571,1549888.236,1493350.674
20171227,1604191.885,1543894.38,1488026.083
20171228,1614975.494,1556725.403,1497359.497
20171229,1447927.809,1384785.73,1499768
20180103,1619191.852,1561474.699,1501792.387
20180104,1633339.161,1581477.33,1518035.49
20180105,1631705.875,1579895.875,1516517.5
20180108,1631705.875,1579895.875,1516517.5
20180109,1631705.875,1579895.875,1516517.5
20180110,1631705.875,1579895.875,1516517.5
20180111,1631705.875,1579895.875,1516517.5
20180112,1631705.875,1579895.875,1516517.5
20180116,1631705.875,1579895.875,1516517.5
20180117,1631705.875,1579895.875,1516517.5
20180118,1631705.875,1579895.875,1516517.5
20180119,1631705.875,1579895.875,1516517.5
20180122,1631705.875,1579895.875,1516517.5
20180123,1631705.875,1579895.875,1516517.5
20180124,1631705.875,1579895.875,1516517.5
20180125,1631705.875,1579895.875,1516517.5
20180126,1631705.875,1579895.875,1516517.5
20180129,1631705.875,1579895.875,1516517.5
20180130,1631705.875,1579895.875,1516517.5
20180131,1631705.875,1579895.875,1516517.5
20180201,1631705.875,1579895.875,1516517.5
20180202,1631705.875,1579895.875,1516517.5
20180205,1631705.875,1579895.875,1516517.5
20180206,1631705.875,1579895.875,1516517.5
20180207,1631705.875,1579895.875,1516517.5
20180208,1631705.875,1579895.875,1516517.5
20180209,1631705.875,1579895.875,1516517.5
20180212,1631705.875,1579895.875,1516517.5
20180213,1631705.875,1579895.875,1516517.5
20180214,1631705.875,1579895.875,1516517.5
20180215,1631705.875,1579895.875,1516517.5
20180216,1631705.875,1579895.875,1516517.5
20180220,1631705.875,1579895.875,1516517.5
20180221,1631705.875,1579895.875,1516517.5
20180222,1631705.875,1579895.875,1516517.5
20180223,1631705.875,1579895.875,1516517.5
20180226,1631705.875,1579895.875,1516517.5
20180227,1631705.875,1579895.875,1516517.5
20180228,1631705.875,1579895.875,1516517.5
20180301,1631705.875,1579895.875,1516517.5
20180302,1631705.875,1579895.875,1516517.5
20180305,1631705.875,1579895.875,1516517.5
20180306,1631705.875,1579895.875,1516517.5
20180307,1631705.875,1579895.875,1516517.5
20180308,1631705.875,1579895.875,1516517.5
20180309,1631705.875,1579895.875,1516517.5
20180312,1631705.875,1579895.875,1516517.5
20180313,1631705.875,1579895.875,1516517.5
20180314,1631705.875,1579895.875,1516517.5
20180315,1631705.875,1579895.875,1516517.5
20180316,1630226.127,1578346.845,1513744.75
20180319,1630686.017,1578415.994,1514300.429
20180320,1618970.432,1565934.756,1497929.078
20180321,1608474.499,1558221.706,1485543.061
20180322,1628833.59,1575787.412,1505102.231
20180323,1615358.057,1563251.557,1490527.422
20180326,1612670.714,1559054.948,1488505.032
20180327,1623435.24,1571177.96,1498881.362
20180328,1605603.729,1552622.174,1478690.519
20180329,1619266.576,1568600.254,1491800.757
20180402,1629377.464,1580384.959,1503507.161
20180403,1618943.949,1563933.315,1501214.794
20180405,1613731.809,1565437.682,1485413.519
20180406,1616898.576,1569686.664,1490551.733
20180409,1640711.268,1594357.425,1519371.912
20180410,1630177.432,1583666.315,1506357.663
20180411,1649437.557,1601870.679,1529630.515
20180412,1638698.327,1592857.268,1520215.61
20180413,1648411.043,1603010.131,1533233.508
20180416,1656059.165,1612790.682,1545147.303
20180417,1651721.157,1605320.875,1534666.62
20180418,1641457.586,1598164.65,1522176.234
20180419,1639928.875,1596984.75,1520654.125
20180420,1639928.875,1596984.75,1520654.125
20180423,1639928.875,1596984.75,1520654.125
20180424,1639928.875,1596984.75,1520654.125
20180425,1639928.875,1596984.75,1520654.125
20180426,1639928.875,1596984.75,1520654.125
20180427,1639928.875,1596984.75,1520654.125
20180430,1639928.875,1596984.75,1520654.125
20180501,1639928.875,1596984.75,1520654.125
20180502,1639928.875,1596984.75,1520654.125
20180503,1639928.875,1596984.75,1520654.125
20180504,1639928.875,1596984.75,1520654.125
20180507,1639928.875,1596984.75,1520654.125
20180508,1639928.875,1596984.75,1520654.125
20180509,1639928.875,1596984.75,1520654.125
20180510,1639928.875,1596984.75,1520654.125
20180511,1639928.875,1596984.75,1520654.125
20180514,1639928.875,1596984.75,1520654.125
20180515,1640179.579,1597027.723,1520803.164
20180516,1640078.25,1596941.75,1520722.25
20180517,1639623.234,1596829.043,1520888.667
20180518,1641221.691,1600615.758,1523615.379
20180521,1639228.018,1598080.33,1520346.185
20180522,1640592.615,1599117.998,1522011.747
20180523,1638927.923,1596586.761,1520356.644
20180524,1637528.81,1593792.779,1519594.675
20180525,1627810.078,1585120.766,1510682.584
20180529,1636400.403,1592563.348,1517828.564
20180530,1629931.831,1586754.917,1510633.044
20180531,1635113.961,1591235.317,1516130.088
20180601,1639983.743,1596801.41,1522485.362
20180604,1638805.701,1594950.905,1520159.328
20180605,1653510.184,1606185.678,1534313.949
20180606,1659786.395,1612138.44,1534751.721
20180607,1663697.318,1615317.917,1538190.275
20180608,1663230.835,1617666.865,1541193.79
20180611,1662127.404,1616279.379,1539989.519
20180612,1652422.413,1612398.765,1532006.035
20180613,1648521.953,1609583.873,1529343.952
20180614,1643636.245,1602446.123,1522526.21
20180615,1619969.778,1577208.267,1489892.261
20180618,1616708.823,1574721.929,1488891.487
20180619,1607965.079,1561285.76,1474379.977
20180620,1610934.072,1567463.645,1480783.712
20180621,1589881.8,1545379.866,1457281.021
20180622,1593145.284,1545656.653,1456232.166
20180625,1584909.318,1539262.398,1447720.373
20180626,1598373.535,1552383.532,1457122.539
20180627,1596167.029,1551600.817,1457822.128
20180628,1594575.125,1550049.25,1456460.25
20180629,1594575.125,1550049.25,1456460.25
20180702,1643068.764,1595239.471,1516444.809
20180705,1595046.623,1550520.623,1456931.748
20180706,1599377.142,1554851.142,1461262.267
20180709,1601749.58,1557223.58,1463634.642
20180710,1597774.345,1553248.407,1459659.47
20180711,1603264.707,1558738.707,1465149.832
20180712,1608271.623,1563745.686,1470156.811
20180713,1610691.476,1566165.539,1472576.601
20180716,1607728.513,1563202.544,1469613.638
20180717,1614444.144,1569918.175,1476329.269
20180718,1605187.56,1560661.592,1467072.697
20180719,1608823.009,1564310.913,1470468.276
20180720,1607366.554,1562920.624,1469065.181
20180723,1613466.008,1569010.346,1474743.152
